Title,Author,Link,Bookshelf,readlink,imglink
The Extermination of the American Bison,William T. Hornaday,http://www.gutenberg.org/ebooks/17748,Animal,https://www.gutenberg.org/cache/epub/17748/pg17748-images.html,https://www.gutenberg.org/cache/epub/17748/pg17748.cover.medium.jpg
Deadfalls and Snares,A. R. Harding,http://www.gutenberg.org/ebooks/34110,Animal,https://www.gutenberg.org/cache/epub/34110/pg34110-images.html,https://www.gutenberg.org/cache/epub/34110/pg34110.cover.medium.jpg
Artistic Anatomy of Animals,Édouard Cuyer,http://www.gutenberg.org/ebooks/38315,Animal,https://www.gutenberg.org/cache/epub/38315/pg38315-images.html,https://www.gutenberg.org/cache/epub/38315/pg38315.cover.medium.jpg
"Birds, Illustrated","Color Photography, Vol. 1, No. 1 Various",http://www.gutenberg.org/ebooks/30221,Animal,https://www.gutenberg.org/cache/epub/30221/pg30221-images.html,https://www.gutenberg.org/cache/epub/30221/pg30221.cover.medium.jpg
On Snake-Poison: Its Action and Its Antidote,A. Mueller,http://www.gutenberg.org/ebooks/32947,Animal,https://www.gutenberg.org/cache/epub/32947/pg32947-images.html,https://www.gutenberg.org/cache/epub/32947/pg32947.cover.medium.jpg
Fifty Years a Hunter and Trapper,E. N. Woodcock,http://www.gutenberg.org/ebooks/34063,Animal,https://www.gutenberg.org/cache/epub/34063/pg34063-images.html,https://www.gutenberg.org/cache/epub/34063/pg34063.cover.medium.jpg
What Bird is That?,Frank M. Chapman,http://www.gutenberg.org/ebooks/31751,Animal,https://www.gutenberg.org/cache/epub/31751/pg31751-images.html,https://www.gutenberg.org/cache/epub/31751/pg31751.cover.medium.jpg
"Fox Trapping: A Book of Instruction Telling How to Trap, Snare, Poison and Shoot",,http://www.gutenberg.org/ebooks/34076,Animal,https://www.gutenberg.org/cache/epub/34076/pg34076-images.html,https://www.gutenberg.org/cache/epub/34076/pg34076.cover.medium.jpg
A Guide for the Study of Animals,"Lucas, Shinn, Smallwood, and Whitney",http://www.gutenberg.org/ebooks/34984,Animal,https://www.gutenberg.org/cache/epub/34984/pg34984-images.html,https://www.gutenberg.org/cache/epub/34984/pg34984.cover.medium.jpg
Our Vanishing Wild Life: Its Extermination and Preservation,William T. Hornaday,http://www.gutenberg.org/ebooks/13249,Animal,https://www.gutenberg.org/cache/epub/13249/pg13249-images.html,https://www.gutenberg.org/cache/epub/13249/pg13249.cover.medium.jpg
Wolf and Coyote Trapping: An Up-to-Date Wolf Hunter's Guide,A. R. Harding,http://www.gutenberg.org/ebooks/34501,Animal,https://www.gutenberg.org/cache/epub/34501/pg34501-images.html,https://www.gutenberg.org/cache/epub/34501/pg34501.cover.medium.jpg
Birds and Man,W. H. Hudson,http://www.gutenberg.org/ebooks/37787,Animal,https://www.gutenberg.org/cache/epub/37787/pg37787-images.html,https://www.gutenberg.org/cache/epub/37787/pg37787.cover.medium.jpg
"Zoological Mythology; or, The Legends of Animals, Volume 1 (of 2)",De Gubernatis,http://www.gutenberg.org/ebooks/38687,Animal,https://www.gutenberg.org/cache/epub/38687/pg38687-images.html,https://www.gutenberg.org/cache/epub/38687/pg38687.cover.medium.jpg
Antarctic Penguins: A Study of Their Social Habits,G. Murray Levick,http://www.gutenberg.org/ebooks/36922,Animal,https://www.gutenberg.org/cache/epub/36922/pg36922-images.html,https://www.gutenberg.org/cache/epub/36922/pg36922.cover.medium.jpg
Butterflies and Moths (British),William S. Furneaux,http://www.gutenberg.org/ebooks/34131,Animal,https://www.gutenberg.org/cache/epub/34131/pg34131-images.html,https://www.gutenberg.org/cache/epub/34131/pg34131.cover.medium.jpg
